StockCode,title,description,features,category,tags,attributes,Price,image_url
22668,PINK BABY BUNTING,A soft and cuddly pink baby bunting for your nursery or playroom.,"[""Soft fabric"", ""Cute design"", ""Pink color""]",Baby Decor,"[""baby decor"", ""pink"", ""bunting""]","{""color"": ""Pink"", ""material"": ""Soft cotton"", ""style"": ""Bunting""}",5.91,"['https://m.media-amazon.com/images/I/61qlNBVJ5uL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/8115kwDFw2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/813bfWXENPS._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41+5-h5WgwL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/817nMPrSfOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61MwIu6y8qL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71M-sNlcjtL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/717+wkEObGL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+dr2MnmML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/517zZDccxDL._AC_UL320_.jpg']"
22669,RED BABY BUNTING,A soft and cozy baby bunting made of high-quality materials.,"[""Soft fabric"", ""Cute design"", ""Easy to hang""]",Baby Decor,"[""baby decor"", ""bunting"", ""soft fabrics""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Vintage""}",2.95,"['https://m.media-amazon.com/images/I/61bEJwcg78L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61V1iy+XZJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/4104CPbO3IL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41+C0R0xDlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Sj2+a74qL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61dZnTPEG5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+dr2MnmML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+cJhDwHML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71WkJanS52L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51kQQm+oVfL._AC_UL320_.jpg']"
22670,French WC Sign Blue Metal,A high-quality French toilet sign made of metal.,"[""Blue color"", ""Metal material""]",Toilet Signs,"[""metal"", ""toilet signs""]","{""color"": ""Blue"", ""material"": ""Metal"", ""style"": """"}",1.25,"['https://m.media-amazon.com/images/I/41ZOe5Ev9XL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61rMl7ScwAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71dnFed9DkL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/815cSTxhCdL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41sij0W-fXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61UIdSy-gpL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/310a55aCdTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71us06yNWYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/715etBUDuTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71CmnNNjiyL._AC_UL320_.jpg']"
22671,French Laundry Sign Blue Metal,A high-quality French Laundry sign made of durable metal.,"[""Blue color"", ""Metal material""]",Decorative Signs,"[""French Laundry"", ""Signs"", ""Metal""]","{""color"": ""Blue"", ""material"": ""Metal"", ""style"": ""High Quality""}",1.65,"['https://m.media-amazon.com/images/I/51Gu1EnSsDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61SrMx5cJJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71C8oUu3pXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71soKioyagL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71V6rlYNn8L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71I1nEeNjgL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71zF7fTbh7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71xS6xov7SL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91PV+j-9euL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71enJ96vDGL._AC_UL320_.jpg']"
22672,French Bathroom Sign Blue Metal,"A high-quality, durable French bathroom sign made of blue metal.","[""Durable"", ""High Quality""]",Decorative Signs,"[""Bathroom Decor"", ""French Style""]","{""color"": ""Blue"", ""material"": ""Metal"", ""style"": ""French""}",1.65,"['https://m.media-amazon.com/images/I/61XGCO6ZQJL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/612tnYUj5KL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41DJeWe0HTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61vkP0ggsPL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81DIR9sVOVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51l1jY9oDFL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41sij0W-fXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/714VY9iJjmL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/412UOLIU1IL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/715etBUDuTL._AC_UL320_.jpg']"
22674,French Toilet Sign Blue Metal,"A high-quality, durable French toilet sign made of blue metal.","[""Durable"", ""High-Quality""]",Toilet Signs,"[""toilet signs"", ""metal"", ""blue""]","{""color"": ""Blue"", ""material"": ""Metal"", ""style"": ""French""}",1.25,"['https://m.media-amazon.com/images/I/71Ni7FEUswL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71us06yNWYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/6118O5CNoVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Ms78FI5gL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51oauxf8AVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61BHXORe-bL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/416oSDj5v-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/514-5a1EZqL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71pSwbtIMqL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71un4TxPD8L._AC_UL320_.jpg']"
22675,French Kitchen Sign Blue Metal,"A high-quality, durable French kitchen sign made of blue metal.","[""Durable"", ""High Quality""]",Kitchen Decor,"[""Kitchen Decor"", ""Metal Signs""]","{""color"": ""Blue"", ""material"": ""Metal"", ""style"": ""Sign""}",1.25,"['https://m.media-amazon.com/images/I/715vVGvaf3L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71InnmGteTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71oK1X4jG1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71yCU2SYlIL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/713Ump3FlIL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71m9PfF-rkL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71V0Z0eO3qL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61gaiB26dSL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61VBQN4Zr-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51U4dQIipOL._AC_UL320_.jpg']"
22689,DOORMAT MERRY CHRISTMAS RED,A festive red doormat with Christmas decorations and holiday cheer.,"[""Red color"", ""Christmas decorations"", ""Holiday cheer""]",Home & Garden,"[""doormats"", ""holiday decor"", ""red""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Decorative""}",7.49,"['https://m.media-amazon.com/images/I/71o6bdbX6SL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71dZQwafSvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/8106uismwzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81-lzPWQGcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91HKraYx9wL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/A1jx+IAjnvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/719L3qnlB0L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71W6A2gmQCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71vwCJc4vmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71ruB076NCL._AC_UL320_.jpg']"
22690,DOORMAT HOME SWEET HOME BLUE,A beautiful and stylish home decor item that adds a touch of blue to your space.,"[""Blue color"", ""Stylish design""]",Home Decor,"[""blue"", ""decor"", ""stylish""]","{""color"": ""Blue"", ""material"": ""Polyester"", ""style"": ""Modern""}",7.49,"['https://m.media-amazon.com/images/I/8140cIGLtAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71fTkdhPvrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71aHw3k9v8L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71CYH4mDb3L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/7188qbmCtyL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81tH0hsWBTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/8134DGYFXvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91oMwASK5WL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81rubH-VPtL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71MaFYUs8JL._AC_UL320_.jpg']"
22691,DOORMAT WELCOME SUNRISE,A beautiful and functional doormat that welcomes guests with a warm welcome.,"[""Warm Welcome"", ""Functional Design""]",Home & Garden,"[""Doormats"", ""Warm Welcomes"", ""Functionality""]","{""color"": ""White"", ""material"": ""Polyester"", ""style"": ""Modern""}",7.49,"['https://m.media-amazon.com/images/I/81cACISZBmL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/912+Y-uG8cL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Ccmas41JL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71vwCJc4vmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/91cN+DJL0zL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81ShTuNW5nL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81F+U57XwrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71k24-kvPLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/A1tb6OhpSML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81xBpZ9SaVL._AC_UL320_.jpg']"
22692,DOORMAT WELCOME TO OUR HOME,A beautifully designed and functional doormat that welcomes you to your home with its warm colors and inviting design.,"[""Warm colors"", ""Inviting design""]",Home Decor,"[""doormat"", ""decorative"", ""home""]","{""color"": ""warm"", ""material"": ""fiber"", ""style"": ""modern""}",7.49,"['https://m.media-amazon.com/images/I/81TTwv-QJTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91cHthEau2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71k24-kvPLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71WEzpI8gXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/819crN3uQKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/7167GyKYObL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51QH2tGOIlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61f1xnj0E-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81-wM2j7TAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71ACXqzKDXL._AC_UL320_.jpg']"
22694,WICKER STAR,A beautiful and unique wicker star that adds a touch of elegance to any space.,"[""Handcrafted"", ""Stylish Design"", ""Elegant Lighting""]",Lamps,"[""Decorative"", ""Artisan"", ""Luxury""]","{""color"": ""Various Colors Available"", ""material"": ""Wicker"", ""style"": ""Chic and Modern""}",2.1,"['https://m.media-amazon.com/images/I/51LLayIqJgL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61s1IrZmC0L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71H5kDh05TL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61vN7y6ZO0L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61xA4mPWtTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61jqWCvB4dL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/515JIhVO+fL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61IR3ghipiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/5195s9n6aOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61e4N6g4jiL._AC_UL640_QL65_.jpg']"
22695,WICKER WREATH SMALL,"A small, handcrafted wicker wreath made from natural materials.","[""Handcrafted"", ""Natural Materials""]",Decorative Accessories,"[""Decorative"", ""Accessories""]","{""color"": ""Natural"", ""material"": ""Wicker"", ""style"": ""Small""}",1.45,"['https://m.media-amazon.com/images/I/61jm-fBD1ML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41-EcuuhGsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91N8DL0BKOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81EKNscnmvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61ey0zy0iUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71rD7S4ODlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51NwN2pwHHL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61CTwV9uJ-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61yMCDTaQaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81bxZiraxhL._AC_UL320_.jpg']"
22696,WICKER WREATH LARGE,"A large, sturdy wicker wreath that adds a touch of natural elegance to any outdoor space.","[""Sturdy construction"", ""Weather-resistant design"", ""Elegant appearance""]",Outdoor Decor,"[""wreaths"", ""outdoor decor"", ""large""]","{""color"": ""Natural"", ""material"": ""Wicker"", ""style"": ""Large""}",1.95,"['https://m.media-amazon.com/images/I/81pzCCuZ3AL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71fvMCHOLVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81TXC1wcoDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71n68TBRbFL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71rD7S4ODlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61VbCL1af+L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61FrzE11XEL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/514gYlWSlUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51ULLCjLDDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41xiqhpKnML._AC_UL320_.jpg']"
22697,GREEN REGENCY TEACUP AND SAUCER,"A beautiful and elegant green teacup and saucer set, perfect for any tea enthusiast.","[""Green color"", ""Regency style"", ""Stylish design""]",Tea Sets,"[""green"", ""regency"", ""teacups"", ""saucers""]","{""color"": ""Green"", ""material"": ""Porcelain"", ""style"": ""Regency""}",5.91,"['https://m.media-amazon.com/images/I/71O60lwPYrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71qtV8FcrbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61OU-jHYKaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51Noxe3Y0YL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/416I1R9dWlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81lpfhd8cUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71AhNwJFcKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71oWNllZCZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51CSVXGdzsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51vwArvEsGL._AC_UL320_.jpg']"
22698,PINK REGENCY TEACUP AND SAUCER,"A charming pink regency teacup and saucer set, perfect for any tea lover's collection.","[""Pink color"", ""Regency style"", ""Stylish design""]",Tea Sets,"[""pink"", ""regency"", ""tea sets""]","{""color"": ""Pink"", ""material"": ""Porcelain"", ""style"": ""Regency""}",5.91,"['https://m.media-amazon.com/images/I/41ZmpgYvowL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91bEithIqcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81cs+QTI+zL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51rt2mc0cuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71CnDvsYgTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61iqvvL8VpL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wCypsGhnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/718PS19OvAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61DiLDWv1RL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51DHNo9bP6L._AC_UL320_.jpg']"
22699,ROSES REGENCY TEACUP AND SAUCER,A beautiful and elegant teacup and saucer set from the Roses Regency collection.,"[""Beautiful design"", ""Elegant shape"", ""High quality material""]",Tableware,"[""Tea Set"", ""Regency Style"", ""Dining Tableware""]","{""color"": ""White"", ""material"": ""Porcelain"", ""style"": ""Regency""}",5.91,"['https://m.media-amazon.com/images/I/61pOISafjZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/817-x-zv8hL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51qRr8E3aiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61nK04ViP9L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/610ZEprQPBL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71DJnXYLEnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61-Iq1CZTWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71rspApO3uL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91rLRFCog6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81QE4rYKseL._AC_UL320_.jpg']"
22704,WRAP RED APPLES,A red apple with a crisp texture and sweet taste.,"[""Red color"", ""Crisp texture"", ""Sweet taste""]",Fruits,"[""Apples"", ""Red"", ""Fresh""]","{""color"": ""Red"", ""material"": ""Apple"", ""style"": ""Red""}",0.42,"['https://m.media-amazon.com/images/I/51GVcvJxm7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51ElVu60RQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61hwIhMWzwL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61pV+JLDgmL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/816Fhlz5kWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41eZddQ+iiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/31wWitceR-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71BumEM3ssL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71DtjxDzJ8L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51l8WuVCVoL._AC_UL320_.jpg']"
22712,CARD DOLLY GIRL,A unique and stylish card dolly for your home or office.,"[""Unique design"", ""Stylish appearance"", ""Durable material""]",Home Decor,"[""Decorative"", ""Card Dolly"", ""Home Office""]","{""color"": ""Various colors available"", ""material"": ""High-quality plastic"", ""style"": ""Modern and sleek""}",0.42,"['https://m.media-amazon.com/images/I/51COwP3TQ1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81ZwKU4U6-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41nv1YQUGjL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/8130b1qKyaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51W2dhtABvL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41+2YywOKDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41CCktMKSeL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/41CCktMKSeL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71mu84Da1kL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71TqkK7iZML._AC_UL320_.jpg']"
22713,CARD I LOVE LONDON,A unique and stylish card with a beautiful design that will make any recipient feel special.,"[""Unique design"", ""Stylish card""]",Stationery,"[""Design"", ""Stylish"", ""Card""]","{""color"": ""White"", ""material"": ""Cardstock"", ""style"": ""Classic""}",0.42,"['https://m.media-amazon.com/images/I/61xlRTx7dbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71SX1bbZTQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81BytmkkiYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51EP0Np5SAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61znasVxkcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+zvAJydeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81HF-pP2TIL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71SL8TlyewL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51wnIsEHcWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61pURkPqDKL._AC_UL320_.jpg']"
22714,CARD BIRTHDAY COWBOY,A unique and personalized card for birthdays that features a cowboy theme.,"[""cowboy-themed design"", ""personalized message space""]",Personalized Cards,"[""cowboy"", ""birthday"", ""card""]","{""color"": ""white"", ""material"": ""cardstock"", ""style"": ""traditional""}",0.42,"['https://m.media-amazon.com/images/I/717Qf44kYDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Hk3aFgTQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61ajCE3ie6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71uu52T9R6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Y1iQ8JOLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61YoNJHP1lS._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61X-e8l8pdL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wtrLEKqAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71BJQtCgAzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71tJz7S564L._AC_UL320_.jpg']"
22716,CARD CIRCUS PARADE,A unique and colorful card circus parade featuring vibrant designs and playful elements.,"[""Vibrant colors"", ""Playful design elements""]",Decorations,"[""Circus"", ""Parade"", ""Decorations""]","{""color"": ""Vivid"", ""material"": ""Cardboard"", ""style"": ""Bold""}",0.85,[]
22718,CARD CAT AND TREE,A unique and stylish card holder with a tree design.,"[""Card holder"", ""Tree design""]",Stationery,"[""Design"", ""Stylish"", ""Card holder""]","{""color"": ""Various colors available"", ""material"": ""Plastic"", ""style"": ""Modern""}",0.85,"['https://m.media-amazon.com/images/I/61JgSNY67SL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/715CqHfPPSL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71WpvRHQLOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71vX49gGYnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41rSExoMD2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71JOfMGBu1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81-u4US+ZzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81knAwVfb8L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51G+Q+WF5vL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71eUDwTmIhL._AC_UL320_.jpg']"
22719,GUMBALL MONOCHROME COAT RACK,A stylish and functional coat rack designed to complement any modern home decor.,"[""Monochromatic design"", ""Stylish coat storage"", ""Versatile for different styles""]",Home Decor,"[""coat rack"", ""monochrome"", ""modern""]","{""color"": ""Monochromatic"", ""material"": ""Metal"", ""style"": ""Modern""}",1.06,"['https://m.media-amazon.com/images/I/71t9A9ZCVVL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/41XfXjT8K6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71TiGg7yRrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/616sIQAqNoL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/611GDT3+L+L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61ojjsfPmRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71EPXsWTHgL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41aEhxpk+OL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41BqKL4jyrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/718vRI-CRqL._AC_UL320_.jpg']"
22725,ALARM CLOCK BAKELIKE CHOCOLATE,"A unique and stylish alarm clock made from chocolate, perfect for those who love the taste of chocolate and want to wake up with a sweet treat.","[""Chocolaty design"", ""Chocolate material"", ""Unique feature""]",Home & Kitchen,"[""chocolate"", ""alarm clock"", ""unique""]","{""color"": ""Chocolate brown"", ""material"": ""Chocolate"", ""style"": ""Bakelike""}",3.75,"['https://m.media-amazon.com/images/I/61WawRj1d-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61A1X2Z9LOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61It8ho+EUL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51wO4bGaqQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51GynVCypsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51qCIo9MAKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61jdEcwDIlL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51mMFzy2UiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61kIu+BAjAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61LdTEgH7-L._AC_UL640_QL65_.jpg']"
22726,ALARM CLOCK BAKELIKE GREEN,A unique and stylish alarm clock made from baked green.,"[""Baked Green Material"", ""Unique Design""]",Home & Kitchen,"[""alarm clock"", ""baked goods"", ""green color""]","{""color"": ""Baked Green"", ""material"": ""Baked Goods"", ""style"": ""Green""}",3.75,"['https://m.media-amazon.com/images/I/61OtWWIDKdL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61O07F7CHZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61XLfJndXKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61LdTEgH7-L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/6147MRJG+jL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51aAyC5+o3L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51aMpSImvkL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41a7BkHPbOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71WxnuNJLgL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61D+m0rG+NL._AC_UL320_.jpg']"
